,0,1,2,3,4,5,6
Pop Density,46428.00581316352,36647.947804912576,74178.8595188034,46157.60219327319,55434.04132743361,68147.90942547699,63670.62501470788
Income,56668.290322580644,62565.84257206209,110530.85217391304,51414.68435013263,55218.35135135135,88031.30084745762,47981.32740213523
Age,34.35414012738855,39.40109649122806,37.24568965517243,36.329605263157916,36.40357142857143,37.59367088607597,34.71901408450701
Household Size,3.057628205128205,2.80251101321586,1.8081896551724144,2.9768115942028994,3.078571428571429,2.238177966101693,3.0738732394366197
Total Pop,3622.817610062893,3671.6353944562898,5151.982905982906,3536.6833976833977,4324.548672566371,4443.523012552301,4338.40206185567
Mexican,2.2669728993349736,3.3857768365271306,1.3842418661221614,2.8312040528577906,4.149892141803135,3.771817068214837,8.299879735798903
Cuban,0.3997182556245561,0.45911418996596914,0.6197167090815844,0.35201821788986837,0.4467094118626821,0.6377346883032233,0.5400701278262552
Dominican,2.5950042110125513,3.712203974510009,1.7698067738732808,9.337054964780362,4.142292272206341,2.49911708971371,14.915096030163651
Salvadoran,0.24722195225558283,0.6644918971107674,0.1626219074460259,0.5725963478488633,1.0062409633439464,0.1750044044495911,0.8916684855795823
Colombian,0.8432502573933803,1.5545650092999783,0.5475558722376836,0.6669444558593401,1.8849951662922046,1.4607073895264422,1.7242543968699247
Peruvian,0.3077464017209936,0.5777584268846202,0.21768655041960944,0.2955980809890994,0.7028019659454018,0.5136017116666977,0.8412307382115383
Venezuelan,0.0721372370128344,0.14698289662356076,0.19043194335440952,0.09778302669725811,0.1252909306425161,0.19761111239916587,0.18811944654673207
Indian,2.100550199176444,2.1689764516536147,2.5570163297896724,2.046360529806726,11.787814563940627,2.2413893512682117,3.0214885560181832
Cambodian,0.00888112274756688,0.04549079553149999,0.035271891245267244,0.030246117756525203,0.045262882548687496,0.004968026431966245,0.02065157899574126
Chinese,6.826871978606563,14.160114908903537,8.517437404008906,2.2746570902172647,4.483971862309867,5.85093614212897,5.227324474352441
Filipino,0.9248796607715275,1.2264269072860483,0.7199179277643898,0.5514768460274982,1.4759937155024108,1.1134713477851799,0.7844590376573592
Japanese,0.14868880469301976,0.19484981153583567,1.3249210690236781,0.04991851080301535,0.18417920854039735,0.9127204661156552,0.2229293914363875
Korean,0.6777710865019491,2.4532884648236477,2.44295022062368,0.30355556884725365,0.6454750142009615,1.3853361019887631,0.4016368651095267
Laotian,0.0014538382136496815,0.018655633992423582,0.004815898591896552,0.005074143875688976,0.0026195623400714287,0.006465001299637131,0.009111354538748251
Malaysian,0.02418122369257898,0.05933801239136136,0.07917948489652414,0.0012260346456535434,0.01781317564235,0.04808335015685232,0.010178240747081818
Nepalese,0.05133635565509554,0.06149277121996507,0.011605846063068965,0.013966463258705776,0.28496855633337137,0.11133873506297892,0.15846710350066084
Pakistani,1.4814609091038466,0.9962541078147009,0.2109323104233276,0.3822297970084728,1.8593517869708927,0.30666109272067416,0.5299007041501432
Taiwanese,0.1386415567250828,0.22463604808661355,0.2747816707633198,0.03512674007330184,0.09357264456516964,0.21741875341932446,0.038082392355038464
Thai,0.052215061033974525,0.11140567596589894,0.13722320421294829,0.017776812591767586,0.1723300289456696,0.14920583604421475,0.06033375124188112
Vietnamese,0.11735095998941401,0.3110992031857925,0.2213070513559397,0.09050651569625762,0.14944306525000894,0.1783678402597531,0.13653964251099995
Lebanese,0.1624256792229363,0.2226471446402733,0.523999118548534,0.03936304480038845,0.07611031164291072,0.3764587675887326,0.07407276712105071
Moroccan,0.21149675583061786,0.13082796716929782,0.09616099083921552,0.08927356799767912,0.09048116665483037,0.15437800747192698,0.08675627904141331
Armenian,0.19393856293943185,0.2482654026220503,0.318563241172069,0.08884127104050864,0.09023399588216874,0.24124596850467078,0.0713477357148916
French,0.4682125024450445,0.5974470651476619,2.4913085245080437,0.3220813080354116,0.46438974388199555,2.0245132527525738,0.4200386322194626
German,2.119930042337076,3.2589420288225215,8.464196515863975,1.2816216469702233,1.982223096166339,6.85593838257232,2.0524932989628413
Greek,0.5485143271633649,1.7439625196037436,1.0422163425601463,0.30366016443108707,0.682643504947649,1.7789378377737126,0.31296425881862927
Irish,3.087882598368154,6.396544594721104,9.297500272003923,2.5153608039072695,2.527092394855156,8.695099491133655,3.101861988781072
Italian,4.764382683541852,14.123805157927439,8.811394081150748,3.7411524998738233,3.121312550055848,8.544046225986037,4.063337628488397
Polish,4.068712611037612,2.863909875872503,5.035698306412009,1.21616624360798,1.6178275042865895,4.4645543827529135,1.6895369403877196
Russian,5.534663589833446,3.127567195263889,5.681904248865171,0.9668767129157311,1.5492762681342958,3.793456083931709,0.6696118921954606
Turkish,0.32083145143889114,0.2898431602610262,0.37316747682550355,0.06103050758448307,0.0673642997920741,0.34995084306021923,0.07110563082666083
Haitian,1.684380532924209,0.3765815537785408,0.0900837401305569,3.6251985904096142,1.7027168484964814,0.3755426673376503,1.267879782236709
White,66.2026650950384,55.228704272705144,71.40899575495605,23.41635143057886,30.3547562811067,66.45361700160844,37.37366726319521
Black or African American,11.869225364525928,8.601238422764359,4.9111097346192,50.041435623498046,21.550126902084997,7.859161041969637,20.366032876227916
American Indian and Alaska Native,0.2561429578007414,0.3112743520143079,0.39418585093602415,0.4156849687258868,0.5167849743337286,0.30898225312896205,0.47810120178407794
Asian,13.437359456658871,23.23571389762757,17.1990277116006,6.40910932892835,27.161336824887595,13.979607975315236,11.840516312515524
Hispanic or Latino,13.041097602419214,22.373411865407693,11.350024449876633,27.973955663004215,25.345154012967328,19.82959307324697,50.9853454781582
